,iter,weights
39,40,"{'number_adjacent_facts_other_value': 2.9746031746031742, 'number_other_facts_same_value': 4.366666666666667, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.0, 'adjacent_block_used': 0.001, 'other_col_cons': 3.583333333333333, 'other_row_cons': 3.0833333333333335, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 2.3857142857142857, 'number_adjacent_col_facts': 1.8343333333333331, 'number_adjacent_block_facts': 0.001}"
40,41,"{'number_adjacent_facts_other_value': 2.9746031746031742, 'number_other_facts_same_value': 4.366666666666667, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.0, 'adjacent_block_used': 0.001, 'other_col_cons': 3.583333333333333, 'other_row_cons': 3.0833333333333335, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 2.3857142857142857, 'number_adjacent_col_facts': 1.8343333333333331, 'number_adjacent_block_facts': 0.001}"
41,42,"{'number_adjacent_facts_other_value': 2.9746031746031742, 'number_other_facts_same_value': 4.366666666666667, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.0, 'adjacent_block_used': 0.001, 'other_col_cons': 3.583333333333333, 'other_row_cons': 3.0833333333333335, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 2.3857142857142857, 'number_adjacent_col_facts': 1.8343333333333331, 'number_adjacent_block_facts': 0.001}"
42,43,"{'number_adjacent_facts_other_value': 2.4746031746031742, 'number_other_facts_same_value': 4.366666666666667, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.0, 'adjacent_block_used': 0.001, 'other_col_cons': 3.583333333333333, 'other_row_cons': 3.0833333333333335, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 2.3857142857142857, 'number_adjacent_col_facts': 0.8343333333333331, 'number_adjacent_block_facts': 0.001}"
43,44,"{'number_adjacent_facts_other_value': 1.9746031746031742, 'number_other_facts_same_value': 4.7, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.0, 'adjacent_block_used': 0.001, 'other_col_cons': 3.583333333333333, 'other_row_cons': 4.083333333333334, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 2.3857142857142857, 'number_adjacent_col_facts': 0.33433333333333315, 'number_adjacent_block_facts': 0.001}"
44,45,"{'number_adjacent_facts_other_value': 0.9746031746031742, 'number_other_facts_same_value': 5.2, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.0, 'adjacent_block_used': 0.001, 'other_col_cons': 4.583333333333333, 'other_row_cons': 4.083333333333334, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.3857142857142857, 'number_adjacent_col_facts': 0.33433333333333315, 'number_adjacent_block_facts': 0.001}"
45,46,"{'number_adjacent_facts_other_value': 1.141269841269841, 'number_other_facts_same_value': 5.2, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.0, 'adjacent_block_used': 0.001, 'other_col_cons': 4.583333333333333, 'other_row_cons': 4.083333333333334, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.3857142857142857, 'number_adjacent_col_facts': 0.33433333333333315, 'number_adjacent_block_facts': 0.16766666666666666}"
46,47,"{'number_adjacent_facts_other_value': 1.2523809523809522, 'number_other_facts_same_value': 5.2, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.0, 'adjacent_block_used': 0.001, 'other_col_cons': 4.583333333333333, 'other_row_cons': 4.083333333333334, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.3857142857142857, 'number_adjacent_col_facts': 0.6676666666666664, 'number_adjacent_block_facts': 0.16766666666666666}"
47,48,"{'number_adjacent_facts_other_value': 1.2523809523809522, 'number_other_facts_same_value': 5.2, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.0, 'adjacent_block_used': 0.001, 'other_col_cons': 4.583333333333333, 'other_row_cons': 4.083333333333334, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.3857142857142857, 'number_adjacent_col_facts': 0.6676666666666664, 'number_adjacent_block_facts': 0.16766666666666666}"
48,49,"{'number_adjacent_facts_other_value': 1.2523809523809522, 'number_other_facts_same_value': 5.2, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.0, 'adjacent_block_used': 0.001, 'other_col_cons': 4.583333333333333, 'other_row_cons': 4.083333333333334, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.3857142857142857, 'number_adjacent_col_facts': 0.6676666666666664, 'number_adjacent_block_facts': 0.16766666666666666}"
49,50,"{'number_adjacent_facts_other_value': 1.419047619047619, 'number_other_facts_same_value': 5.2, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.0, 'adjacent_block_used': 0.001, 'other_col_cons': 4.583333333333333, 'other_row_cons': 4.083333333333334, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.3857142857142857, 'number_adjacent_col_facts': 0.6676666666666664, 'number_adjacent_block_facts': 0.3343333333333333}"
