,iter,weights
34,35,"{'number_adjacent_facts_other_value': 0.39999999999999997, 'number_other_facts_same_value': 4.0773809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 4.5009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 2.395833333333333, 'other_row_cons': 2.7458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 1.2999999999999998, 'number_adjacent_col_facts': 0.001, 'number_adjacent_block_facts': 0.001}"
35,36,"{'number_adjacent_facts_other_value': 0.5428571428571428, 'number_other_facts_same_value': 4.0773809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 5.5, 'adjacent_row_used': 4.5009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 2.395833333333333, 'other_row_cons': 2.7458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 1.0499999999999998, 'number_adjacent_col_facts': 0.376, 'number_adjacent_block_facts': 0.001}"
36,37,"{'number_adjacent_facts_other_value': 0.5428571428571428, 'number_other_facts_same_value': 4.0773809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 5.5, 'adjacent_row_used': 5.0009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 2.395833333333333, 'other_row_cons': 2.7458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 1.2166666666666666, 'number_adjacent_col_facts': 0.126, 'number_adjacent_block_facts': 0.001}"
37,38,"{'number_adjacent_facts_other_value': 0.5428571428571428, 'number_other_facts_same_value': 4.0773809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 6.0, 'adjacent_row_used': 5.0009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 2.395833333333333, 'other_row_cons': 2.7458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 0.9666666666666666, 'number_adjacent_col_facts': 0.29266666666666663, 'number_adjacent_block_facts': 0.001}"
38,39,"{'number_adjacent_facts_other_value': 0.5428571428571428, 'number_other_facts_same_value': 4.0773809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 6.0, 'adjacent_row_used': 5.5009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 2.395833333333333, 'other_row_cons': 2.7458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 1.1333333333333333, 'number_adjacent_col_facts': 0.04266666666666663, 'number_adjacent_block_facts': 0.001}"
39,40,"{'number_adjacent_facts_other_value': 0.5428571428571428, 'number_other_facts_same_value': 4.0773809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 6.5, 'adjacent_row_used': 5.5009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 2.395833333333333, 'other_row_cons': 2.7458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 0.6333333333333333, 'number_adjacent_col_facts': 0.29266666666666663, 'number_adjacent_block_facts': 0.001}"
40,41,"{'number_adjacent_facts_other_value': 0.8285714285714285, 'number_other_facts_same_value': 3.8273809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 7.0, 'adjacent_row_used': 5.5009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 1.895833333333333, 'other_row_cons': 2.7458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 0.1333333333333333, 'number_adjacent_col_facts': 0.6926666666666667, 'number_adjacent_block_facts': 0.001}"
41,42,"{'number_adjacent_facts_other_value': 0.5285714285714285, 'number_other_facts_same_value': 4.0773809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 7.0, 'adjacent_row_used': 5.5009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 2.145833333333333, 'other_row_cons': 2.7458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 0.001, 'number_adjacent_col_facts': 0.6926666666666667, 'number_adjacent_block_facts': 0.001}"
42,43,"{'number_adjacent_facts_other_value': 0.9285714285714285, 'number_other_facts_same_value': 4.0773809523809526, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 7.0, 'adjacent_row_used': 6.0009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 2.4791666666666665, 'other_row_cons': 2.2458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 0.401, 'number_adjacent_col_facts': 0.6926666666666667, 'number_adjacent_block_facts': 0.001}"
43,44,"{'number_adjacent_facts_other_value': 0.6785714285714285, 'number_other_facts_same_value': 4.2440476190476195, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 7.0, 'adjacent_row_used': 6.0009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 2.4791666666666665, 'other_row_cons': 2.7458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 0.401, 'number_adjacent_col_facts': 0.44266666666666665, 'number_adjacent_block_facts': 0.001}"
44,45,"{'number_adjacent_facts_other_value': 0.4285714285714285, 'number_other_facts_same_value': 4.4107142857142865, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 7.0, 'adjacent_row_used': 6.0009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 2.9791666666666665, 'other_row_cons': 2.7458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 0.15100000000000002, 'number_adjacent_col_facts': 0.44266666666666665, 'number_adjacent_block_facts': 0.001}"
45,46,"{'number_adjacent_facts_other_value': 0.22857142857142848, 'number_other_facts_same_value': 4.6607142857142865, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 7.0, 'adjacent_row_used': 6.0009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 2.9791666666666665, 'other_row_cons': 3.2458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 0.15100000000000002, 'number_adjacent_col_facts': 0.19266666666666665, 'number_adjacent_block_facts': 0.001}"
46,47,"{'number_adjacent_facts_other_value': 0.04107142857142848, 'number_other_facts_same_value': 5.1607142857142865, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 7.0, 'adjacent_row_used': 6.0009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 3.4791666666666665, 'other_row_cons': 3.2458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 0.001, 'number_adjacent_col_facts': 0.19266666666666665, 'number_adjacent_block_facts': 0.001}"
47,48,"{'number_adjacent_facts_other_value': 0.2410714285714285, 'number_other_facts_same_value': 5.1607142857142865, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 7.0, 'adjacent_row_used': 6.0009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 3.4791666666666665, 'other_row_cons': 3.2458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 0.401, 'number_adjacent_col_facts': 0.3593333333333333, 'number_adjacent_block_facts': 0.001}"
48,49,"{'number_adjacent_facts_other_value': 0.5267857142857142, 'number_other_facts_same_value': 4.9107142857142865, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 7.5, 'adjacent_row_used': 6.0009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 2.9791666666666665, 'other_row_cons': 3.2458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 0.401, 'number_adjacent_col_facts': 0.6926666666666665, 'number_adjacent_block_facts': 0.201}"
49,50,"{'number_adjacent_facts_other_value': 0.3267857142857142, 'number_other_facts_same_value': 5.1607142857142865, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 7.5, 'adjacent_row_used': 6.0009999999999994, 'adjacent_block_used': 0.001, 'other_col_cons': 3.4791666666666665, 'other_row_cons': 3.2458333333333336, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 0.15100000000000002, 'number_adjacent_col_facts': 0.6926666666666665, 'number_adjacent_block_facts': 0.0010000000000000009}"
