grid,hint_facts,hint_constraints,hint_derived,number_constraints,number_facts,number_block_cons,number_col_cons,number_row_cons,adjacent_row_used,adjacent_col_used,adjacent_block_used,other_row_cons,other_col_cons,other_block_cons,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,number_adjacent_block_facts,number_adjacent_col_facts,number_adjacent_constraints,number_adjacent_facts,number_adjacent_row_facts,number_other_constraints,number_other_facts,time
"[[0 0 0 0 0 8 7 3 0]
 [0 0 0 3 0 0 0 0 0]
 [1 0 0 0 0 0 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 0 0]
 [0 0 4 1 3 9 2 6 7]
 [3 6 2 7 8 4 1 0 9]
 [7 9 1 0 6 0 8 4 3]]","[['FACT', [1, 3, 3]], ['FACT', [2, 7, 9]], ['FACT', [5, 4, 9]], ['FACT', [6, 5, 9]]]","[['ROW', 2], ['COL', 5], ['COL', 4], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [0, 3, 9]]",4,4,1,2,1,0,0,1,1,2,0,1,3,0,1,1,1,1,0,3,3,7.180053472518921
"[[0 0 0 9 0 8 7 3 0]
 [0 0 0 3 0 0 0 0 0]
 [1 0 0 0 0 0 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 0 0]
 [0 0 4 1 3 9 2 6 7]
 [3 6 2 7 8 4 1 0 9]
 [7 9 1 0 6 0 8 4 3]]","[['FACT', [0, 3, 9]], ['FACT', [0, 5, 8]], ['FACT', [1, 3, 3]], ['FACT', [2, 6, 6]], ['FACT', [8, 4, 6]]]","[['ROW', 2], ['COL', 4], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [1, 5, 6]]",3,5,1,1,1,0,0,1,1,1,0,3,2,0,3,1,1,3,1,2,2,5.198721885681152
"[[0 0 0 9 0 8 7 3 0]
 [0 0 0 3 0 6 0 0 0]
 [1 0 0 0 0 0 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 0 0]
 [0 0 4 1 3 9 2 6 7]
 [3 6 2 7 8 4 1 0 9]
 [7 9 1 0 6 0 8 4 3]]","[['FACT', [0, 5, 8]], ['FACT', [1, 5, 6]], ['FACT', [4, 4, 7]], ['FACT', [7, 3, 7]]]","[['COL', 4], ['COL', 3], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [2, 5, 7]]",3,4,1,2,0,0,0,1,0,2,0,2,2,0,2,2,1,2,0,2,2,4.637920141220093
"[[0 0 0 9 0 8 7 3 0]
 [0 0 0 3 0 6 0 0 0]
 [1 0 0 0 0 7 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 0 0]
 [0 0 4 1 3 9 2 6 7]
 [3 6 2 7 8 4 1 0 9]
 [7 9 1 0 6 0 8 4 3]]","[['FACT', [6, 6, 2]], ['FACT', [6, 7, 6]], ['FACT', [6, 8, 7]], ['FACT', [7, 6, 1]], ['FACT', [7, 8, 9]], ['FACT', [8, 6, 8]], ['FACT', [8, 7, 4]], ['FACT', [8, 8, 3]]]","[['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [7, 7, 5]]",1,8,1,0,0,0,0,1,0,0,0,8,0,0,8,2,1,8,2,0,0,5.081665277481079
"[[0 0 0 9 0 8 7 3 0]
 [0 0 0 3 0 6 0 0 0]
 [1 0 0 0 0 7 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 0 0]
 [0 0 4 1 3 9 2 6 7]
 [3 6 2 7 8 4 1 5 9]
 [7 9 1 0 6 0 8 4 3]]","[['FACT', [4, 4, 7]], ['FACT', [5, 1, 2]], ['FACT', [5, 2, 8]], ['FACT', [5, 6, 4]], ['FACT', [6, 8, 7]], ['FACT', [8, 0, 7]]]","[['ROW', 5], ['COL', 8], ['COL', 0], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [5, 7, 7]]",4,6,1,2,1,1,0,0,0,2,1,3,3,0,1,0,1,3,3,3,3,4.42873477935791
"[[0 0 0 9 0 8 7 3 0]
 [0 0 0 3 0 6 0 0 0]
 [1 0 0 0 0 7 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 7 0]
 [0 0 4 1 3 9 2 6 7]
 [3 6 2 7 8 4 1 5 9]
 [7 9 1 0 6 0 8 4 3]]","[['FACT', [0, 6, 7]], ['FACT', [0, 7, 3]], ['FACT', [2, 6, 6]], ['FACT', [2, 7, 9]], ['FACT', [5, 6, 4]], ['FACT', [6, 6, 2]], ['FACT', [7, 6, 1]], ['FACT', [8, 6, 8]]]","[['COL', 6], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [1, 6, 5]]",2,8,1,1,0,0,1,1,0,0,0,8,0,0,4,6,2,8,0,0,0,5.826596736907959
"[[0 0 0 9 0 8 7 3 0]
 [0 0 0 3 0 6 5 0 0]
 [1 0 0 0 0 7 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 0 4 7 0]
 [0 0 4 1 3 9 2 6 7]
 [3 6 2 7 8 4 1 5 9]
 [7 9 1 0 6 0 8 4 3]]","[['FACT', [1, 3, 3]], ['FACT', [5, 1, 2]], ['FACT', [5, 2, 8]], ['FACT', [5, 4, 9]], ['FACT', [5, 6, 4]], ['FACT', [5, 7, 7]], ['FACT', [7, 0, 3]], ['FACT', [8, 8, 3]]]","[['ROW', 5], ['COL', 8], ['COL', 0], ['COL', 3]]","['DERIVED', [5, 5, 3]]",4,8,0,3,1,1,0,0,0,3,0,5,3,0,1,0,1,5,5,3,3,5.324875354766846
"[[0 0 0 9 0 8 7 3 0]
 [0 0 0 3 0 6 5 0 0]
 [1 0 0 0 0 7 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 3 4 7 0]
 [0 0 4 1 3 9 2 6 7]
 [3 6 2 7 8 4 1 5 9]
 [7 9 1 0 6 0 8 4 3]]","[['FACT', [4, 1, 1]], ['FACT', [5, 4, 9]], ['FACT', [5, 5, 3]], ['FACT', [5, 6, 4]], ['FACT', [5, 7, 7]], ['FACT', [6, 3, 1]]]","[['ROW', 5], ['COL', 3], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [5, 8, 1]]",3,6,1,1,1,1,0,0,0,1,1,4,2,0,2,0,1,4,4,2,2,4.312762260437012
"[[0 0 0 9 0 8 7 3 0]
 [0 0 0 3 0 6 5 0 0]
 [1 0 0 0 0 7 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 3 4 7 1]
 [0 0 4 1 3 9 2 6 7]
 [3 6 2 7 8 4 1 5 9]
 [7 9 1 0 6 0 8 4 3]]","[['FACT', [0, 7, 3]], ['FACT', [2, 7, 9]], ['FACT', [5, 8, 1]], ['FACT', [7, 6, 1]]]","[['COL', 7], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[3, 6], [6, 9]]]]","['DERIVED', [1, 7, 1]]",3,4,2,1,0,0,1,0,0,0,2,2,2,0,2,2,1,2,0,2,2,3.607081174850464
"[[0 0 0 9 0 8 7 3 0]
 [0 0 0 3 0 6 5 1 0]
 [1 0 0 0 0 7 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 3 4 7 1]
 [0 0 4 1 3 9 2 6 7]
 [3 6 2 7 8 4 1 5 9]
 [7 9 1 0 6 0 8 4 3]]","[['FACT', [0, 3, 9]], ['FACT', [0, 5, 8]], ['FACT', [1, 7, 1]], ['FACT', [2, 0, 1]]]","[['ROW', 2], ['ROW', 1], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [0, 4, 1]]",3,4,1,0,2,0,0,1,2,0,0,2,2,0,2,0,1,2,2,2,2,3.2998852729797363
"[[0 0 0 9 1 8 7 3 0]
 [0 0 0 3 0 6 5 1 0]
 [1 0 0 0 0 7 6 9 0]
 [0 0 0 0 0 0 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 3 4 7 1]
 [0 0 4 1 3 9 2 6 7]
 [3 6 2 7 8 4 1 5 9]
 [7 9 1 0 6 0 8 4 3]]","[['FACT', [0, 4, 1]], ['FACT', [4, 1, 1]], ['FACT', [5, 5, 3]], ['FACT', [6, 3, 1]]]","[['ROW', 4], ['COL', 4], ['COL', 3], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [3, 5, 1]]",4,4,1,2,1,0,0,1,1,2,0,1,3,0,1,1,1,1,0,3,3,3.5051584243774414
"[[0 0 0 9 1 8 7 3 0]
 [0 0 0 3 0 6 5 1 0]
 [1 0 0 0 0 7 6 9 0]
 [0 0 0 0 0 1 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 3 4 7 1]
 [0 0 4 1 3 9 2 6 7]
 [3 6 2 7 8 4 1 5 9]
 [7 9 1 0 6 0 8 4 3]]","[['FACT', [0, 3, 9]], ['FACT', [0, 5, 8]], ['FACT', [1, 6, 5]], ['FACT', [1, 7, 1]], ['FACT', [2, 0, 1]], ['FACT', [2, 5, 7]], ['FACT', [2, 6, 6]], ['FACT', [2, 7, 9]], ['FACT', [5, 2, 8]], ['FACT', [6, 2, 4]], ['FACT', [7, 2, 2]]]","[['ROW', 2], ['ROW', 1], ['COL', 2], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [2, 2, 3]]",4,11,1,1,2,1,1,0,1,0,1,7,0,4,1,3,2,7,4,2,4,6.229112386703491
"[[0 0 0 9 1 8 7 3 0]
 [0 0 0 3 0 6 5 1 0]
 [1 0 3 0 0 7 6 9 0]
 [0 0 0 0 0 1 0 0 0]
 [0 1 0 0 7 0 0 0 0]
 [0 2 8 0 9 3 4 7 1]
 [0 0 4 1 3 9 2 6 7]
 [3 6 2 7 8 4 1 5 9]
 [7 9 1 0 6 0 8 4 3]]","[['FACT', [2, 2, 3]], ['FACT', [4, 1, 1]], ['FACT', [5, 1, 2]], ['FACT', [7, 0, 3]]]","[['COL', 2], ['COL', 0], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [3, 1, 3]]",3,4,1,2,0,0,0,1,0,2,0,2,2,0,2,2,1,2,0,2,2,2.759150981903076
